y, x_ 1, x_ 2, x_ 3, x_ 4, x_ 5, x_ 6, x_ 7, x_ 8, x_ 9, x_10, x_11, x_12, x_13, x_14, x_15, x_16, x_17, x_18, x_19, x_20, x_21, x_22, x_23, x_24, x_25, x_26, x_27, x_28, x_29, x_30, x_31, x_32, x_33, x_34, x_35, x_36, x_37, x_38, x_39, x_40, x_41, x_42, x_43, x_44, x_45, x_46, x_47, x_48, x_49, x_50, x_51, x_52, x_53, x_54, x_55, x_56, x_57, x_58, x_59, x_60, x_61, x_62, x_63, x_64, x_65, x_66, x_67, x_68, x_69, x_70, x_71, x_72, x_73, x_74, x_75, x_76, x_77, x_78, x_79, x_80, x_81, x_82, x_83, x_84, x_85, x_86, x_87, x_88, x_89, x_90, x_91, x_92, x_93, x_94, x_95, C_ 1, C_ 2, C_ 3, C_ 4, C_ 5
-69.393097, 10.055585, 0.289036, -46.748373, 9.289237, 9.729013, 17.036793, -12.430320, 11.015882, 2.256337, -6.317563, -14.393751, 1.275894, -0.589335, 2.232987, 14.297940, -0.538669, 59.857383, 4.369407, 11.557744, 3.180806, -5.867205, 7.640266, 6.491637, -1.601019, 7.378315, -0.243042, 10.345619, -7.201881, 3.476988, -0.924904, 10.678282, 10.024412, 11.100761, 26.497610, -11.334167, -1.517292, 5.764818, 3.879572, 3.382268, 1.570991, 32.915428, 7.902968, 21.224505, 3.292406, 16.062948, 1.667324, 4.541441, 14.670170, -5.509172, -9.473799, -3.710511, 19.277788, -9.606562, -1.190310, 20.633208, 5.083872, -0.920684, 4.823549, 18.716797, -2.090723, -11.598080, 22.205806, -3.146501, 0.021381, 2.365295, 3.831561, -9.399972, 10.817248, -9.225665, -10.240193, -0.641885, 3.305642, 5.914363, -4.800137, 17.417288, 15.143371, -7.631217, -1.538020, 16.063262, -14.943127, 1.266641, 4.246319, 2.143561, 24.004551, 9.067252, 1.068494, 1.114997, 12.509087, 0.749495, -12.827305, 9.799563, 15.842689, -9.527268, 8.680547, 6.870564, NaN, I, NaN, H, K
-45.143269, 5.661929, -8.172350, -51.445846, 2.869381, 5.857869, 16.976673, -14.625289, 1.945814, -7.452895, -17.569241, -16.293535, 0.093692, -1.592293, -1.578557, 8.424058, -7.936255, 50.629848, 2.177741, 2.729590, -1.348917, -11.628988, 4.947311, -7.333935, -0.919209, 2.621465, -10.859466, 8.263323, -5.782110, -4.613955, -9.171209, 5.577688, 12.555770, 8.971469, 15.500939, -18.419081, -8.630187, 4.294640, -0.344181, -3.739270, -4.553730, 28.440766, 6.825582, 11.031225, -6.364278, 18.656278, -2.327042, 0.055850, 11.403314, -8.750967, -10.511210, -6.728447, 8.069892, -11.931755, -4.485438, 16.384610, 0.157592, -5.989198, -1.675006, 7.080910, -9.505984, -23.728312, 16.997011, -7.080843, -0.411625, -0.826299, -3.359037, -17.416191, -3.145792, -9.828499, -15.214262, 0.043974, -2.238088, 2.570512, -10.434830, 14.420792, 7.754368, -9.251341, -6.158094, 5.597354, -18.080863, -6.702150, -3.383051, -0.818560, 16.280321, 5.573726, -4.953675, 3.536635, 4.225157, -6.822014, -20.519006, -2.533666, 12.984296, -9.138499, 1.790938, -0.278660, K, I, I, I, K
-117.340541, 1.420570, -7.479476, -51.696962, -1.654729, 4.731166, 9.848327, -15.459621, 3.922184, -1.210801, -15.128570, -14.821722, -3.818774, -4.036521, 1.677942, 7.362656, -5.924550, 59.908020, 2.322664, 7.830239, -4.660107, -8.849837, 1.375693, -2.185804, -9.971596, 0.841783, -4.986119, 10.359821, -9.632427, -4.429155, -10.098447, 3.503358, 5.854326, 7.749867, 16.127715, -16.018860, 0.324595, 0.902393, -2.032212, -2.774626, -2.413731, 25.135185, 4.770802, 19.020003, -4.624454, 13.984836, 0.374747, -1.710487, 6.722689, -12.811470, -13.891826, -8.230410, 11.786914, -13.049759, -2.453704, 15.985837, 0.201338, -4.783051, 2.993903, 7.900277, -8.957810, -18.113216, 20.552403, -4.610360, -2.539888, -1.044394, 2.568437, -12.067451, 3.506549, -10.213085, -19.946641, -3.795534, -7.341463, 5.968077, -12.035276, 11.712508, 12.675396, -15.505738, -2.465367, 6.842337, -18.086686, -3.911637, -1.220635, -2.864145, 17.851031, 7.708396, -1.819999, -2.000725, 3.802372, -7.668891, -14.012597, 3.461843, 15.294486, -13.668956, 5.448614, 1.847178, G, H, I, J, K
-176.817697, 7.716013, -7.750335, -49.142539, 1.118904, 5.283744, 16.822317, -12.166760, 1.292544, -2.182322, -19.531119, -13.799464, -4.727407, -2.521584, 1.292701, 12.046642, -11.249624, 58.022764, 6.657893, 4.619248, -1.381473, -10.991070, 2.931462, -3.421301, -3.254675, 0.501309, -3.544215, 5.079034, -8.409102, -5.795749, -5.526802, 6.128650, 1.826364, 11.346655, 23.549169, -20.831795, -3.503989, 7.574457, -3.053090, -7.935531, -2.807966, 29.287575, 7.135615, 17.300993, -0.384734, 16.305210, -2.260807, -5.119238, 10.946437, -13.325187, -7.131185, -9.617955, 16.943194, -10.134926, -4.867718, 15.326739, 0.393352, -0.138834, 5.553092, 8.434931, -8.248736, -18.094704, 19.638875, -6.810150, -1.119357, -0.916045, 1.517032, -8.278361, 4.870892, -10.432667, -20.024416, -0.324144, -9.889811, 6.883126, -10.394208, 9.254952, 22.756359, -10.028445, -4.461485, 7.077921, -14.814117, -13.997207, -0.816476, 2.304164, 16.810956, 13.711132, -0.043636, -5.158929, -2.135081, -3.762194, -16.666101, 4.470430, 17.564489, -13.049522, 3.505629, 2.672849, I, I, J, G, J
-22.875939, 5.195233, -8.252987, -52.143856, 2.112213, 2.034861, 12.717198, -22.389714, 1.438919, -7.308590, -16.706968, -15.789813, -7.325971, -1.594486, -5.983481, 3.985582, -10.743065, 52.241819, -2.268774, 4.952129, 1.162940, -11.086182, 4.476645, -2.833475, 0.132144, 6.491017, -4.941310, 1.723262, -11.194371, -9.453898, -3.837600, 7.081263, 3.898353, 8.912224, 22.272829, -16.880940, -8.487295, 3.744751, 3.444504, -6.466919, -8.832523, 32.136541, -1.311732, 13.291009, -3.525987, 13.601765, -6.621457, -4.758731, 15.416406, -11.917918, -12.500803, -4.074443, 11.958060, -16.922874, -7.859586, 17.039105, 3.195467, -0.736617, -4.617227, 9.193361, -6.527221, -21.079892, 16.273630, -5.218450, -2.370032, -6.397497, -5.298887, -14.229546, 1.259439, -15.631909, -15.622805, -5.276328, -7.239036, 5.195884, -1.394370, 11.667455, 14.362894, -11.613564, -2.268968, 8.178310, -17.915321, -7.615634, -5.173227, 0.384999, 14.489472, 2.399281, 1.893857, -8.748285, 5.550072, -4.369006, -13.379076, -1.374044, 11.119488, -9.881581, 2.819918, -0.221832, I, H, K, J, K
-196.267802, 4.150439, -3.510096, -49.425339, 3.965355, 4.672674, 13.900569, -15.588721, 1.057978, -3.924598, -15.813802, -8.410064, 0.379805, -1.054257, 4.380766, 4.963451, -5.496739, 57.831968, 0.345085, 7.377328, -0.041496, -10.619428, 5.870933, -1.838520, -3.591981, 2.446734, -2.729659, 9.486722, -7.737446, 0.645675, -6.414875, 4.888474, 13.404520, 12.093389, 19.309982, -8.133127, -5.327609, 4.563638, 3.326726, 0.687299, -4.312490, 29.519033, 10.038805, 18.154885, -2.798258, 17.176547, -6.162315, -2.959108, 9.824899, -6.991215, -10.741454, -10.792363, 15.477069, -14.379570, -0.604244, 22.008747, 2.001417, -3.224678, 1.067802, 10.640137, -2.532044, -15.935306, 20.297787, -2.735287, -1.488032, -2.308745, -2.193223, -16.226027, 1.117111, -13.291053, -11.290171, -5.626789, 1.786654, 3.829418, -7.241003, 14.374113, 12.107322, -9.311307, -2.916249, 12.515461, -16.185207, -4.164501, -0.102316, -0.899186, 17.772371, 7.094147, -4.694771, -3.036121, 7.774266, -2.587063, -6.828416, 2.840239, 18.154992, -8.442601, 10.917944, 2.978396, G, H, J, I, H
-153.463131, 1.916416, -6.679814, -52.019718, 5.165542, 3.763047, 16.298596, -14.834090, 2.365513, -3.761654, -20.373078, -16.789862, -1.762802, -4.383356, -5.568662, 8.960270, -8.956807, 47.291135, 2.702471, 2.788995, -2.883661, -12.792762, 7.351116, 0.214121, -5.176984, -2.524714, -5.133018, 4.573165, -8.033126, -3.848892, -8.257163, 4.957672, 9.932399, 9.425792, 21.921369, -17.932551, -11.780404, 9.254163, 2.329805, -3.491149, -5.392804, 26.532955, 5.621177, 13.595025, 1.611217, 13.797404, -4.942995, -3.147180, 8.003318, -12.062858, -9.293662, -9.020025, 11.325408, -15.161368, -7.648055, 14.394571, 0.764167, -4.735276, -1.391995, 7.642309, -9.977671, -18.571807, 17.051056, -4.948780, -5.952118, -7.833552, -6.973517, -17.539633, 0.751748, -13.770973, -16.893097, -6.945627, -6.259030, 7.296358, -10.050321, 13.518845, 9.200168, -11.873640, -6.657111, 5.766713, -17.433222, -6.468098, 0.487987, 0.043339, 18.882798, 5.882307, -7.895936, -4.700532, 0.994367, -6.340975, -17.501343, 1.787790, 12.107399, -13.413951, -2.235389, -0.067164, H, I, H, K, K
-36.522179, 5.234989, -9.942637, -53.994453, 4.586013, 2.644166, 16.949326, -15.181973, -1.070140, -3.945146, -20.861429, -10.656439, 0.579411, -1.606696, 0.378718, 9.858913, -7.946644, 55.448561, 0.647443, 4.941161, -5.404727, -5.551423, 11.475023, -4.175692, -3.003139, 6.103908, 0.417429, 7.016561, -4.918555, -3.298829, -10.907684, 3.814226, 10.056740, 5.432490, 25.119354, -12.603727, -4.912321, 3.101939, -1.847794, -6.478856, -3.482722, 25.970443, 7.396020, 16.559028, 0.483815, 10.448740, -3.804354, -5.191713, 8.297911, -11.027574, -9.127606, -7.930453, 13.846142, -13.092262, -10.302015, 19.736115, -0.961842, -6.684065, -0.108735, 14.528228, -6.098034, -14.927835, 14.777296, -4.786707, -3.693398, -3.118523, -0.381771, -16.176976, 6.312727, -11.704590, -15.013998, -3.424505, -7.338173, 1.305981, -6.349980, 17.850990, 13.015391, -10.673066, -5.904174, 6.059284, -18.100309, -4.705062, -3.582123, -2.116366, 12.037500, 3.832092, -3.074746, -4.429829, 6.147024, -7.520774, -13.313702, 4.395656, 15.411606, -14.036050, -0.804316, 1.543250, K, I, G, G, G
-34.783363, 4.537699, -10.331421, -57.100626, 2.143274, 0.401884, 15.837647, -15.157705, -3.684427, -4.748093, -15.856639, -15.461337, -1.643407, -2.192854, -4.773944, 5.882772, -12.564171, 51.991091, 3.301020, -2.670302, -9.359042, -14.966298, 3.239958, -4.075597, -5.883164, -3.747029, -3.123003, 1.450472, -5.129069, -8.579662, -10.979117, -0.168533, 10.145122, 12.344691, 17.168983, -17.896332, -8.030736, 7.578582, -0.899652, -6.602404, -6.329713, 25.607718, 4.299518, 12.050214, -12.099877, 16.727260, -5.331712, -0.853920, 10.598275, -11.639936, -9.251426, -7.110936, 6.381701, -12.113837, -8.529973, 12.425543, -3.536673, -4.456322, 1.187704, 2.802109, -8.921191, -21.318186, 16.705213, -7.872298, -2.620791, -2.104750, -4.361649, -13.356029, 1.617113, -12.328079, -13.848644, -7.479091, -12.470233, 2.948369, -9.642163, 13.858149, 16.839497, -14.576502, -4.039841, 6.584687, -12.710814, -5.353990, -6.705559, -1.467399, 15.481834, 8.007857, -6.797108, -3.687846, 1.190581, -9.594472, -18.339621, 1.257484, 8.977437, -17.474989, 1.209638, -0.315714, K, I, I, G, J
10.476559, 3.043638, -13.872459, -50.639693, 2.169392, 0.789099, 13.393586, -19.543596, -0.011184, -7.860066, -18.303570, -16.368899, -4.881327, -1.312180, 2.960450, 2.534243, -5.466917, 55.787095, -3.517349, 2.444498, -1.765271, -14.063664, 7.723912, -1.901852, -8.472341, 4.816908, -7.427397, 2.005322, -7.434027, -5.425616, -9.634307, 1.808512, 9.411255, 9.421442, 18.240619, -21.485600, -6.790624, 4.403249, 2.531028, -2.687390, -6.576850, 26.148280, 2.962608, 17.527492, -1.693823, 14.494384, -5.070804, -3.696301, 10.714140, -16.133589, -8.008644, -6.379749, 11.508571, -12.207738, -3.474396, 17.377405, 1.876054, 1.449307, 0.761816, 4.057701, -13.553579, -16.276816, 14.267911, -6.148606, 0.320005, -3.704929, -2.683497, -16.687906, 4.462010, -11.820639, -13.941358, -6.616567, -6.590775, 0.819879, -9.625625, 14.751817, 9.612158, -11.341311, -5.555135, 7.251149, -15.640520, -1.201228, -2.316166, -2.884132, 16.648990, 1.791603, -2.676349, -5.860196, 1.230150, -3.942768, -12.325068, 0.905338, 12.984320, -13.252059, 1.745661, -1.355110, K, H, I, K, J
