x_ 1, x_ 2, x_ 3, x_ 4, x_ 5, x_ 6, x_ 7, x_ 8, x_ 9, x_10, x_11, x_12, x_13, x_14, x_15, x_16, x_17, x_18, x_19, x_20, x_21, x_22, x_23, x_24, x_25, x_26, x_27, x_28, x_29, x_30, x_31, x_32, x_33, x_34, x_35, x_36, x_37, x_38, x_39, x_40, x_41, x_42, x_43, x_44, x_45, x_46, x_47, x_48, x_49, x_50, x_51, x_52, x_53, x_54, x_55, x_56, x_57, x_58, x_59, x_60, x_61, x_62, x_63, x_64, x_65, x_66, x_67, x_68, x_69, x_70, x_71, x_72, x_73, x_74, x_75, x_76, x_77, x_78, x_79, x_80, x_81, x_82, x_83, x_84, x_85, x_86, x_87, x_88, x_89, x_90, x_91, x_92, x_93, x_94, x_95, C_ 1, C_ 2, C_ 3, C_ 4, C_ 5
7.590574, -8.171691, -51.730042, 3.428046, 7.863768, 12.240870, -14.165737, 2.721488, -4.141879, -14.671052, -9.359865, -3.359710, -1.193112, 0.208829, 6.097070, -7.673879, 56.981958, 3.350535, 7.062792, -0.686696, -7.171496, 4.364489, -3.021241, -2.941816, 8.695758, -0.964793, 5.391674, -11.915866, -1.743929, -6.790937, 6.641301, 2.439139, 7.882416, 22.489628, -16.993532, -3.161819, 3.374596, 3.866808, -7.799465, -3.815200, 27.384467, 9.363378, 12.105649, -3.019301, 15.961888, 0.259431, -2.682076, 9.935447, -11.737557, -9.566227, -8.423435, 13.568203, -10.299315, -4.237066, 23.509407, 2.824243, -7.047907, 2.716426, 8.339707, -0.571630, -13.475194, 18.922569, -4.761048, 0.560030, -7.397171, -1.917681, -17.359072, 3.444798, -11.916838, -14.217496, -4.421700, -3.124904, 1.105290, -10.597015, 9.995905, 12.893680, -5.821135, -7.319681, 5.266889, -14.241175, -7.587507, 2.040820, -5.852630, 13.788814, 4.406628, -4.121201, -3.038734, 4.926825, -2.251651, -14.285666, 1.579144, 15.722676, -12.024787, 7.061808, 1.272519, G, H, G, J, NaN
7.380214, -6.426733, -50.695380, 5.472817, 2.694877, 13.809112, -22.922345, -0.376813, -3.391917, -13.831624, -11.798867, -3.704669, -2.828426, -1.291753, 8.379236, -7.822738, 59.506917, 1.247091, 6.766771, 0.308494, -9.012629, 2.828853, -0.274973, -7.736676, 4.406259, -1.103109, 7.539424, -9.994216, -0.605540, -6.610250, 9.856702, 6.597151, 10.662055, 18.313872, -13.005472, -7.544325, 2.144051, -1.223875, -3.933188, -6.302273, 32.882094, 2.806780, 19.677682, -2.972206, 12.354137, -2.303063, -4.971778, 12.591984, -10.506959, -11.224686, -9.314889, 15.672638, -19.684596, -1.046815, 16.756866, 2.771630, -2.314076, -3.461346, 11.350948, -6.747709, -18.201342, 17.401055, -7.336288, 1.747037, -1.539028, 4.058481, -13.243340, 5.071725, -12.445838, -13.823394, -2.614115, -4.080787, 5.083147, -5.528750, 11.969343, 16.290070, -9.212156, -4.619403, 8.438651, -16.667402, -3.872726, -0.918611, 2.961373, 21.103477, 5.035576, 1.456396, -5.257785, 1.741706, -5.986962, -13.245913, -1.562628, 9.422504, -8.258564, 4.476136, -4.957941, I, H, K, J, H
5.422935, -11.820555, -52.600080, 1.183876, 2.433844, 11.034904, -16.685060, 0.616998, -1.547631, -20.951138, -13.410930, -5.920571, -0.816375, 1.957748, 11.505821, -8.544539, 54.062637, 5.645480, 2.092417, -1.231640, -4.279012, 3.233890, 2.218202, -5.832407, 1.700950, -2.938697, 4.241522, -6.868913, 0.719829, -7.737302, 7.104099, 10.433597, 12.296890, 20.722986, -16.528007, -5.779260, 7.803936, -2.511003, -8.217702, -3.665767, 29.966634, 13.222480, 19.096213, -1.797275, 17.807465, 0.985751, -3.617386, 11.555478, -11.127058, -10.339536, -8.480174, 18.265010, -21.736613, -3.056630, 15.920624, 6.323574, -4.555369, 0.454999, 14.513795, -3.336791, -16.547594, 19.924346, -3.853990, -1.783235, -1.686923, -1.595924, -10.098555, 6.713000, -16.069290, -11.672920, -6.557230, -5.248235, 7.490434, -5.880575, 14.119968, 12.642176, -11.744859, -0.778460, 8.269811, -12.615837, -0.893677, 2.000394, 5.706319, 18.351113, 5.150197, -2.283437, -0.156209, 1.844023, -8.007926, -12.730199, -2.978541, 10.806607, -13.065711, 0.341900, 0.587778, H, H, NaN, H, K
0.759784, -10.629206, -51.918591, -4.076110, 0.972852, 10.533873, -20.728799, -1.400101, -6.349725, -18.602440, -13.517159, -7.731902, -2.783144, -1.777593, 7.618606, -9.442132, 57.768907, -0.672551, 5.736453, -0.691134, -12.306125, 2.167476, -3.073117, -10.557630, 4.001238, -8.256471, 5.606502, -11.420057, -7.579189, -8.310111, 3.023591, 3.661512, 9.223071, 19.105348, -16.990293, -4.044587, 3.282647, -1.172452, -9.210174, -8.296292, 24.571324, 6.181910, 15.964624, -0.569167, 10.766425, -4.023013, -3.819577, 12.297894, -19.015731, -10.044836, -8.332129, 13.926160, -16.373812, -0.499781, 16.233646, 5.474281, -6.544506, 2.517216, 9.033503, -5.470009, -18.616174, 14.548225, -6.657356, -0.772269, -8.132073, -1.473431, -12.216071, 0.637297, -9.510090, -15.872935, -6.276627, -2.928334, 5.433823, -9.038737, 9.129305, 13.167623, -12.293639, -6.614791, 5.162097, -20.790020, -7.122278, -2.142506, -0.310299, 17.530127, 5.111609, 0.577827, -4.143680, -0.072493, -5.989806, -12.026800, -3.770047, 10.318276, -6.750689, -1.056657, 1.241944, G, NaN, K, K, J
5.371897, -0.653821, -51.524864, 6.279264, 3.588928, 14.094932, -13.647554, -5.968338, 3.357638, -17.009561, -9.012973, -6.472375, 2.048222, 0.375665, 6.242324, -14.228441, 52.426116, 0.948350, 2.570873, 3.747697, -4.582174, 4.583847, -2.770520, -1.035978, 5.453074, 0.912388, 4.156772, -7.518396, -2.673589, -0.718152, 11.579092, 4.520164, 11.365511, 14.420599, -9.964941, -2.038197, 3.718638, -4.278699, -3.618683, -0.314993, 29.037302, 2.609770, 19.118647, -7.036618, 17.703645, -0.589186, -2.231015, 11.410168, -12.266247, -4.598015, -7.209143, 14.728635, -11.653107, -7.943920, 18.454295, 2.309713, 1.733923, -2.493811, 3.389663, -9.450074, -15.368905, 19.967559, -3.750055, -3.609620, 4.454589, 3.086417, -9.530832, 8.527758, -11.117011, -15.588122, -0.252665, -7.076561, 6.263499, -8.522308, 9.953864, 20.088276, -14.976348, -2.111210, 4.649813, -9.573742, -5.411515, -0.094137, 3.570741, 17.590857, 8.698056, -3.279890, 0.124035, 4.641731, -5.329156, -12.344338, 7.549236, 14.764024, -9.319149, 9.080665, 1.728121, H, NaN, J, H, G
2.115634, -11.390136, -55.356838, 8.140751, -2.671409, 13.507535, -19.999546, -4.966107, -4.918696, -18.258239, -13.854246, -5.077795, -3.166305, -5.056118, 3.453369, -15.242434, 52.438931, 1.151942, -2.058134, -8.370594, -13.538610, 4.685185, -2.292336, -8.697001, -3.571450, -4.687779, 2.782222, -3.048844, -9.072739, -4.365044, 4.000061, 7.757237, 11.404494, 21.064526, -20.116439, -7.521888, 3.742448, -1.449361, -7.802441, -11.938071, 27.726506, 2.309766, 18.670901, -9.080607, 11.446283, -2.121260, -6.625690, 7.957733, -14.736501, -10.965752, -8.466832, 12.082578, -15.600956, -11.968040, 11.041653, 0.017173, -3.937631, -0.220087, 4.735368, -13.003555, -16.875939, 15.783432, -6.791185, -5.811738, -1.568320, -4.734972, -11.926273, 6.272186, -17.222912, -14.193593, -8.354319, -7.696045, 2.876581, -11.970921, 13.024519, 12.685313, -11.440859, -5.003188, 4.363676, -17.809172, -4.290372, -8.725293, -1.761548, 14.825532, 2.616630, -8.238440, -5.384889, -1.438968, -9.666282, -14.736620, -1.570783, 8.089439, -15.605502, 2.064200, -1.606015, I, H, I, G, K
9.216888, -4.024621, -48.542086, 2.915666, 1.663596, 12.560779, -20.709642, -4.047168, -0.080162, -16.133687, -11.480778, -0.207805, -2.436192, 1.594390, 9.210144, -7.724903, 61.464553, 3.522458, 4.192326, -1.370871, -5.654585, 7.302854, 2.201550, -6.780686, 1.168071, 1.351171, 7.782703, -4.473375, 1.087629, -4.310850, 5.063933, 9.314615, 15.928713, 22.964308, -11.951451, -6.285468, 5.294476, -2.531053, -5.646101, -2.470589, 33.070174, 11.536499, 20.968678, -3.096664, 18.203245, -0.666927, -3.271698, 8.500929, -7.259230, -7.350570, -5.260713, 17.098076, -15.232289, -5.298114, 15.682561, 2.266319, -0.395352, 0.085760, 15.850274, -4.596063, -14.941166, 16.995514, -8.249818, -2.044349, 0.540150, 5.633239, -9.451911, 8.584631, -13.678686, -7.719649, -5.313202, -3.484197, 6.427797, -3.306746, 18.331297, 15.540031, -6.917650, -4.795195, 13.868290, -13.950999, 1.216148, -2.966306, 1.184683, 17.020734, 4.603490, 0.681467, 0.595768, 5.605353, -4.342486, -7.409834, 7.183008, 8.166960, -12.232621, 3.140035, 0.497930, H, H, G, J, NaN
3.799768, -10.740813, -50.833714, 0.703769, 4.695205, 13.140177, -14.664979, -0.667138, -6.906842, -21.421740, -19.490136, -7.298617, -7.623609, -2.980072, 8.472398, -13.488848, 53.969975, 0.763711, 2.722453, -1.796740, -12.334231, 5.361739, -2.157678, -8.493960, -5.133344, -8.357125, 3.519731, -12.167936, -8.485510, -8.891806, 5.537932, 3.750799, 8.190729, 21.283191, -20.752312, -6.772353, 5.175092, -3.376153, -7.267220, -6.990154, 24.177838, 2.806476, 16.131673, -3.832888, 14.539407, -4.935214, -6.211213, 8.866035, -20.710794, -13.483367, -14.530605, 14.291418, -17.344433, -9.636508, 15.152429, -1.998337, -7.272079, 0.296548, 6.810553, -7.673531, -17.932859, 17.932670, -7.565826, -2.232841, -10.125547, -1.122598, -16.697943, 5.446607, -12.378794, -14.695359, -9.513237, -6.427626, -2.518487, -12.187158, 12.171283, 10.376642, -13.589138, -9.475515, 4.706184, -20.556515, -10.009971, -5.314670, 2.406443, 13.260084, 5.327957, -5.862977, -5.211451, 0.704136, -6.141231, -17.943710, 0.305891, 9.905602, -16.513323, -4.442367, -0.214691, K, H, NaN, NaN, G
7.985782, -4.554581, -48.308981, 4.063618, 8.124189, 19.590537, -8.376312, 8.030186, 1.026069, -15.689130, -16.367600, -6.196523, 1.504005, -2.065545, 10.505462, -8.567606, 56.111277, -0.208525, 5.912371, 0.576881, -9.377107, 6.099107, -1.466747, -3.818978, 5.219922, -3.690643, 8.775071, -6.117649, 0.721908, -2.508213, 7.049070, 10.712503, 12.811635, 23.047760, -14.386955, -0.073501, 7.518497, 1.261695, -2.484760, -1.491986, 27.104923, 11.582232, 18.732062, 4.756241, 20.585625, -2.106231, 2.279844, 13.893815, -10.399591, -8.846064, 0.381865, 13.035130, -7.428988, -3.416243, 20.748809, 3.149781, -1.667886, 5.701552, 13.236320, -7.986537, -14.474750, 18.314217, 0.142489, -1.765845, 0.540109, 1.599615, -6.525603, 7.694166, -9.767297, -19.244781, 1.145221, -3.732553, 5.175989, -8.633851, 18.833902, 13.139578, -10.101733, 0.884977, 10.641761, -11.539757, -5.303494, -1.672271, 4.769193, 17.999697, 9.329019, -0.123567, 0.857692, 5.426679, -4.940885, -14.652118, 5.843819, 12.924248, -9.179555, 2.338293, 5.541472, I, I, J, G, J
9.634916, -7.334966, -54.559988, 6.048656, 6.249965, 15.705689, -10.430656, 6.718857, 0.294155, -14.430303, -15.446776, 4.907533, -1.613229, 2.080958, 16.114674, -4.949447, 59.453256, 9.883506, 6.320147, -4.418166, -5.988660, 4.700140, 0.528016, -8.839156, -0.952063, 2.274468, 9.555132, -6.095064, 5.692429, -9.951174, 10.942606, 14.759709, 14.699483, 19.352134, -13.543915, -3.109345, 6.345243, -2.904074, -0.749536, -0.876561, 27.103665, 11.811907, 17.853726, -3.832705, 17.963116, 1.269386, 4.914155, 15.339932, -7.238098, -8.518955, -9.027287, 18.531458, -17.934986, -0.970077, 16.516553, 2.680034, -5.881491, 6.362422, 13.703304, -5.037305, -15.006152, 25.237845, -2.933896, 2.901176, -0.876088, 1.726917, -11.997023, 7.331526, -7.419473, -11.510135, -2.678182, -2.334959, 4.969315, -14.913710, 13.903727, 13.218888, -8.512857, -1.280725, 11.102575, -14.170170, -2.097548, 2.507885, 6.631396, 26.752301, 7.088930, -4.869835, 1.845161, 0.124256, -6.246532, -14.119828, 2.312239, 12.231812, -15.938209, 1.551712, 4.057505, I, I, NaN, G, J
